Grapheme	IPA	Frequency	
.	NULL	
a	a	1094
u	u	981
i	i	849
r	r	567
k	k	547
o	o	479
s	s	394
m	m	378
n	n	364
e	e	332
t	t	305
h	h	260
ɴ	ɴ	209
ʦ	ts	159
ɨ	ɨ	119
b	b	117
j	j	112
ʨ	tɕ	109
g	g	103
w	w	100
d	d	85
iː	iː	84
ai	a i	82
ʔ	ʔ	64
oː	oː	61
aː	aː	54
z	z	54
ui	ui	49
ɕ	ɕ	49
uː	uː	42
eː	eː	40
ŋ	ŋ	39
oi	o i	38
tː	tː	34
x	x	27
p	p	26
kʲ	kʲ	25
θ	θ	25
ɭ	ɭ	23
ɸ	ɸ	22
au	a u	20
ʦː	tsː	20
sː	sː	19
ʥ	dʑ	19
f	f	17
pː	pː	16
kː	kː	15
ua	u a	15
ɨː	ɨː	15
ae	a e	12
ʨː	tɕː	11
ʃ	ʃ	10
ei	e i	9
aiː	a iː	8
ia	i a	7
ʔʲ	ʔʲ	7
ʣ	dz	7
mː	mː	6
ie	i e	5
oe	o e	5
p͡s	ps	5
vː	vː	4
ʤ	dʒ	4
nʲ	nʲ	3
oiː	o iː	3
oːi	oː i	3
ueː	u eː	3
uiu	u i u	3
ao	a o	2
b͡z	bz	2
eo	e o	2
fː	fː	2
iːi	i i/j i	2
mʲ	mʲ	2
nː	nː	2
ou	o u	2
tʲ	tʲ	2
ue	u e	2
uo	u o	2
v	v	2
ɴː	ɴː	2
β	β	2
io	i o	1
iːo	iː o	1
iːː	i i/j i	1
oie	o i/j e	1
ʃː	ʃː	1
ʧː	tʃː	1
